20-20_technologies::: NNP NE;nc com nc 
beyond_all_question::: A;RB idiomPP intensifier 
beyond_all_questions::: A;RB idiomPP intensifier plu 
beyond_any_reasonable_doubt::: ;RB idiomPP intensifier pred 
beyond_the_call_of_duty::: A ac;idiomPP 
beyond_the_pale::: A ac;idiomPP 
beyond_the_path::: NNP NE;nc com nc 
bharat_electronics::: NNP NE;nc com nc 
big_sun_chemical::: NNP NE;nc com nc 
big_thank_you::: N nc;emph good passion 
bile_duct_bypass::: N nc;treatment 
bile_duct_ligation::: N nc;treatment 
bile_duct_prosthesis::: N nc;treatment 
bile_duct_reconstruction::: N nc;treatment 
biliary_tract_drainage::: N nc;treatment 
biliary_tract_surgery::: N nc;treatment 
bill_of_attainder::: N nc;tool 
bill_of_entry::: N nc;tool 
bill_of_exchange::: N nc;tool 
bill_of_fare::: N nc;tool 
bill_of_goods::: N nc;tool 
bill_of_health::: N nc;tool 
bill_of_indictment::: N nc;tool 
bill_of_lading::: N nc;tool 
bill_of_particulars::: N nc;tool 
bill_of_review::: N nc;tool 
bill_of_sale::: N nc;tool 
billow_out::: VB vc;VI 
binary_math_operation::: N nc;v 
bind_off::: VB vc;vt 
bind_over::: VB vc;vt 
binge_drink::: VB vc;useC 
binge_listened_to::: Ven past vc;Ved useC 
binge_listening_to::: VB vc;useC 
binge_watch::: VB vc;useC 
bio-imaging_technologies::: NNP NE;nc com nc 
bio-treat_technology::: NNP NE;nc com nc 
biochemicals_and_reagents::: NNP NE;nc com nc 
bioconversion_technology::: NNP NE;nc com nc 
biodata_information_technology::: NNP NE;nc com nc 
biodevices_biz::: NNP NE;nc com nc 
biogas_technology_of_lrz_neukirchen::: NNP NE;nc com nc 
bioject_medical_technologies::: NNP NE;nc com nc 
bioland_technology::: NNP NE;nc com nc 
biolase_technology::: NNP NE;nc com nc 
biological_chemical_decontamination_systems::: NNP NE;nc com nc 
biological_warfare_defence::: N nc; 
biological_warfare_defense::: N nc; 
biomyx_technology::: NNP NE;nc com nc 
biosafety_level_1::: N nc; 
biosafety_level_2::: N nc; 
biosafety_level_3::: N nc; 
biosafety_level_4::: N nc; 
biosite_diagnostics::: NNP NE;nc com nc 
biotechnology_application_centre::: NNP NE;nc com nc 
bioteq_environmental_technologies::: NNP NE;nc com nc 
bioworld_biotechnology::: NNP NE;nc com nc 
birch_leaf_miner::: N nc; 
bird's_eye_view::: N nc; 
bird_electronic::: NNP NE;nc com nc 
bird_of_prey::: N nc; 
birmingham-southern_college::: ;NN nc org 
birth_control_device::: N nc;tool 
bismarck_state_college::: ;NN nc org 
bitch_up::: VB vc;vt 
bite_off::: VB vc;vt 
black_and_white::: A N0 ac; 
black_body_radiation::: N nc; 
black_felt_cup::: N nc; 
black_hawk_college_-east_campus::: ;NN nc org 
black_hawk_college_-quad-cities_campus::: ;NN nc org 
black_hills_state_university::: ;NN nc org 
black_out::: VB vc;vt 
black_widow_spider::: N nc;animal nt 
blackhawk_technical_college::: ;NN nc org 
bladder_cancer_cellular_diagnosis::: N nc;treatment 
blalock_taussig_shunt::: N nc;treatment 
bleach_out::: VB vc;vt 
blend_in::: VB vc;VPP 
blink_of_an_eye::: N nc;timeUnit 
block_in::: VB vc;vt 
block_off::: VB vc;vt 
blood_alcohol_level::: N nc;abstract 
blood_ammonia_level::: N nc;abstract 
blood_component_therapy::: N nc;treatment 
blood_glucose_monitoring::: N nc;treatment 
blood_hormone_level::: N nc;abstract 
blood_inorganic_phosphate_level::: N nc;abstract 
blood_pressure_monitoring::: N nc;treatment 
blood_vessel_graft::: N nc;treatment 
blood_vessel_prosthesis::: N nc;treatment 
blood_vessel_shunt::: N nc;treatment 
blood_vessel_transplantation::: N nc;treatment 
blow_down::: VB vc;vt 
blow_in::: VB vc;vt 
blow_out::: VB vc;vt 
blow_up::: VB vc;vt 
blue_channel_cat::: N nc; 
blue_false_indigo::: N nc; 
blue_heron_biotechnology::: NNP NE;nc com nc 
blue_ribbon_commission::: N nc;orgHN 
blue_ribbon_committee::: N nc;orgHN 
blue_ribbon_jury::: N nc;orgHN 
bluefield_state_college::: ;NN nc org 
blurt_out::: VB vc;vt 
board_of_appeals::: N nc;orgHN 
board_of_deacons::: N nc;orgHN 
board_of_directors::: NNP nc;group stopN 
board_of_education::: N nc;orgHN 
board_of_regents::: N nc;orgHN 
board_of_selectmen::: N nc;orgHN 
board_of_trade_unit::: N nc unit; 
board_of_trustees::: N nc;orgHN 
bob_evans_farms::: NNP NE;nc com nc 
body_shop_hair_removal::: N nc;solution 
body_shop_hair_removal_wax::: N nc;prod 
body_temp_monitoring::: N nc;treatment 
boe_technology::: NNP NE;nc com nc 
boehringer_ingelheim_chemicals::: NNP NE;nc com nc 
boeing_aerospace_&_electronics::: NNP NE;nc com nc 
boil_down::: VB vc;VNPPP VPP 
boise_state_university::: ;NN nc org 
bolt_technology::: NNP NE;nc com nc 
bomb_out::: VB vc;vt 
bond_together::: VB vc;vt 
bondine_electronic_adhesives::: NNP NE;nc com nc 
bone_marrow_purging::: N nc;treatment 
bone_marrow_rescue::: N nc;treatment 
bone_marrow_transplant::: N nc;treatment 
bone_marrow_transplantation::: N nc;treatment 
bone_patellar_tendon_bone_graft::: N nc;treatment 
book_up::: VB vc;vt 
boots_and_coots_international_well_control::: NNP NE;nc com nc 
boral_material_technologies::: NNP NE;nc com nc 
borders_group::: NNP NE;nc com nc 
boring_as_shit::: A ac;curse 
boron_counter_tube::: NN nc;tool 
bosch_packaging_technology::: NNP NE;nc com nc 
boss_around::: VB vc;vt 
bounce_across::: VB vc;vt 
bounce_along::: VB vc;vt 
bounce_down::: VB vc;VPP 
bound_back::: VB vc;VPP 
bound_off::: VB vc;vt 
bound_together::: VB vc;vt 
bow_and_arrow::: NN nc;tool 
bowie_state_university::: ;NN nc org 
bowling_green_state_university::: ;NN nc org 
bowling_green_technical_college::: ;NN nc org 
box_end_wrench::: N nc;count tool 
bq_cleaning_chemicals::: NNP NE;nc com nc 
brace_and_bit::: NN nc;tool 
bracket_off::: VB vc;vt 
brain_artery_bypass::: N nc;treatment 
brain_depth_stimulation::: N nc;treatment 
brain_ventricle_peritoneum_shunt::: N nc;treatment 
braintek_electronics::: NNP NE;nc com nc 
branch_out::: VB vc;VI VPP 
brand_electronics::: NNP NE;nc com nc 
brand_marketing_associate::: N nc;job 
brandeis_university::: ;NN nc org 
brazen_out::: VB vc;vt 
break_away::: VB vc;VPP 
break_forth::: VB vc;VI 
break_in::: VB vc;vt 
break_off::: VB vc;VI VNPPP vt 
break_open::: VB vc;vt 
break_out::: VB vc;VI VNPPP VPP vt 
breast_cancer_cellular_diagnosis::: N nc;treatment 
breathe_in::: VB vc;VI vt 
breathe_out::: VB vc;VI vt 
breckbill_bible_college::: ;NN nc org 
brewton-parker_college::: ;NN nc org 
brick_up::: VB vc;vt 
bridgewater_state_college::: ;NN nc org 
bright_and_early::: A;RB idiomPP pro 
brim_over::: VB vc;VI VPP 
bring_along::: VB vc;vt 
bring_around::: VB vc;vt 
bring_back::: VB vc;VNPPP vt 
bring_by::: VB vc;vt 
bring_forward::: VB vc;vt 
bring_in::: VB vc;VNPPP vt 
bring_off::: VB vc;vt 
bring_on::: VB vc;vt 
bring_out::: VB vc;VTH vt 
bring_over::: VB vc;vt 
bring_through::: VB vc;VNPPP 
bring_together::: VB vc;vt 
bring_up::: VB vc;VNG VNPPP VTH vt
mouse_over::: VB vc;VPP VNPPP vt
british_broadcasting::: NNP NE;nc com nc 
british_capacity_unit::: N nc unit; 
british_overseas_airways::: NNP NE;nc com nc 
british_pound_sterling::: N nc unit; 
british_rail::: NNP NE;nc com nc 
british_sky_broadcasting::: NNP NE;nc com nc 
british_thermal_unit::: N nc unit; 
broaden_out::: VB vc;VPP 
brooks_institute_of_photography::: ;NN nc org 
brookstone_college_-charlotte::: ;NN nc org 
brother_in_law::: NN nc;relatives 
brown_estate_vineyards::: NNP NE;nc com nc 
brush_back::: VB vc;vt 
bryant_and_stratton_college::: ;NN nc org 
bryant_and_stratton_college_-albany_campus::: ;NN nc org 
bryant_and_stratton_college_-amherst_campus::: ;NN nc org 
bryant_and_stratton_college_-buffalo_campus::: ;NN nc org 
bryant_and_stratton_college_-cleveland_downtown_campus::: ;NN nc org 
bryant_and_stratton_college_-greece_campus::: ;NN nc org 
bryant_and_stratton_college_-henrietta_campus::: ;NN nc org 
bryant_and_stratton_college_-lackawanna_campus::: ;NN nc org 
bryant_and_stratton_college_-milwaukee_campus::: ;NN nc org 
bryant_and_stratton_college_-parma_campus::: ;NN nc org 
bryant_and_stratton_college_-richmond_campus::: ;NN nc org 
bryant_and_stratton_college_-syracuse_campus::: ;NN nc org 
bryant_and_stratton_college_-syracuse_north_campus::: ;NN nc org 
bryant_and_stratton_college_-virginia_beach_campus::: ;NN nc org 
bryant_and_stratton_college_-willoughby_hills_campus::: ;NN nc org 
bryght_northern_research::: NNP NE;nc com nc 
bryn_athyn_college::: ;NN nc org 
bryn_mawr_college::: ;NN nc org 
bt_italia::: NNP NE;nc com nc 
bubble_jet_printer::: NN nc;tool 
bubble_over::: VB vc;VPP 
bubble_up::: VB vc;VI VPP 
buck_the_trend::: VB vc;pt 
buckle_up::: VB vc;VI VPP vt 
budd's_farm::: NNP NE;nc com nc 
buffalo_state_college::: ;NN nc org 
build_out::: VB vc;VPP 
built_in_bed::: NN nc;prod tool 
bulletin_board_system::: N nc;tool 
bum_out::: VB vc;VI 
bump_around::: VB vc;VPP 
bunch_up::: VB vc;VI 
bundle_up::: VB vc;VI VNPPP vt 
bureau_de_change::: NN nc; 
bureau_of_alcohol,_tobacco,_firearms_and_explosives::: ;NN nc org 
bureau_of_customs::: ;NN nc org 
bureau_of_diplomatic_security::: ;NN nc org 
bureau_of_the_census::: ;NN nc org 
burger_king::: NNP NE;nc com nc 
burlington_northern_santa_fe::: NNP NE;nc com nc 
burn_away::: VB vc;VI vt 
burn_down::: VB vc;VI vt 
burn_out::: VB vc;VI vt 
burn_through::: VB vc;vt 
bursa_malaysia::: NNP NE;nc com nc 
business_development_manager::: N nc;job 
business_intelligence_analytics_manager::: N nc;job 
business_operations_analyst::: N nc;count job 
business_operations_manager::: N nc;job 
bustle_around::: VB vc;VI 
button_back::: VB vc;vt 
button_down::: VB vc;vt 
button_up::: VB vc;VI vt 
buy_back::: VB vc;VNPPPas VNPPPfor VPP vt 
buy_up::: VB vc;vt 
by_a_hair::: ;RB idiomPP 
by_a_hair's_breadth::: ;RB idiomPP 
by_a_thread::: ;RB idiomPP 
by_a_whisker::: ;RB idiomPP 
by_all_accounts::: ;RB idiomPP intensifier 
by_all_means::: ;RB degree idiomPP intensifier mannerRB 
by_any_stretch::: ;RB idiomPP 
by_any_stretch_of_the_imagination::: ;RB idiomPP 
by_hook_or_crook::: ;RB idiomPP 
by_leaps_and_bounds::: ;RB idiomPP 
by_means_of::: P;vtt /via/ 
by_no_stretch::: ;RB idiomPP 
by_reason_of::: P;vtt /for/ 
by_the_board::: A ac;idiomPP 
by_the_book::: ;RB idiomPP 
by_the_end_of::: P;timeR vtt 
by_the_numbers::: ;RB idiomPP 
by_the_same_token::: ;RB idiomPP 
by_the_seat_of_the_pants::: ;RB idiomPP 
by_the_time::: P;SC 
by_use_of::: P;vtt /via/ 
by_way_of::: P;vtt /via/ 
bytes_technology::: NNP NE;nc com nc 
c&d_technologies::: NNP NE;nc com nc 
c-media_electronics::: NNP NE;nc com nc 
cable_television_service::: N nc;prod 
cabot_micro-electronics::: NNP NE;nc com nc 
cal-comp_electronics::: NNP NE;nc com nc 
calian_technologies::: NNP NE;nc com nc 
california_institute_of_technology::: ;NN nc org 
california_lutheran_university::: ;NN nc org 
california_maritime_academy::: ;NN nc org 
california_micro_devices::: NNP NE;nc com nc 
california_polytechnic_state_university::: ;NN nc org 
california_state_polytechnic_university::: ;NN nc org 
california_state_university_-bakersfield::: ;NN nc org 
california_state_university_-channel_islands::: ;NN nc org 
california_state_university_-chico::: ;NN nc org 
california_state_university_-fresno::: ;NN nc org 
california_state_university_-fullerton::: ;NN nc org 
california_state_university_-hayward::: ;NN nc org 
california_state_university_-long_beach::: ;NN nc org 
california_state_university_-los_angeles::: ;NN nc org 
california_state_university_-monterey_bay::: ;NN nc org 
california_state_university_-northridge::: ;NN nc org 
california_state_university_-sacramento::: ;NN nc org 
california_state_university_-san_bernardino::: ;NN nc org 
california_state_university_-san_marcos::: ;NN nc org 
california_state_university_-stanislaus::: ;NN nc org 
califronia_state_university_-dominguez_hills::: ;NN nc org 
call_around::: VB vc;VI 
call_aside::: VB vc;VNPPP vt 
call_away::: VB vc;VNPPP VPP 
call_forth::: VB vc;vt 
call_in::: VB vc;VI VPP vt 
call_off::: VB vc;VNPPP vt 
call_on::: VB vc;VNPPP VNPTOoc VPP 
call_over::: VB vc;VPP vt 
call_together::: VB vc;vt 
calumet_and_hecla_mining::: NNP NE;nc com nc 
calumet_college_of_st._joseph::: ;NN nc org 
cam_communications_solutions::: NNP NE;nc com nc 
cambridge_display_technology::: NNP NE;nc com nc 
cambridge_research_biochemicals::: NNP NE;nc com nc 
came_up_with::: VB vc;past tWord 
cameron_chemicals::: NNP NE;nc com nc 
camtech_camouflage_technology::: NNP NE;nc com nc 
canadian_association_of_internet_providers::: NNP NE;nc com nc 
canadian_national_railway::: NNP NE;nc com nc 
canadian_pacific_railway::: NNP NE;nc com nc 
cancer_adjuvant_therapy::: N nc;treatment 
cancer_cell_destruction::: N nc;treatment 
cancer_combination_chemotherapy::: N nc;treatment 
cancer_gene_therapy::: N nc;treatment 
cancer_hormone_therapy::: N nc;treatment 
cancer_palliative_therapy::: N nc;treatment 
canon_electronics::: NNP NE;nc com nc 
cap_off::: VB vc;VNPPP 
cape_verde_escudo::: N nc unit; 
captive_finance_company::: N nc;com 
carbon_arc_lamp::: N nc;prod 
carbon_nanotechnologies::: NNP NE;nc com nc 
carbonfree_technology::: NNP NE;nc com nc 
cardiac_resynchronization_therapy::: N nc;treatment 
cardiovascular_gene_therapy::: N nc;treatment 
carl_albert_state_college::: ;NN nc org 
carlisle_chemical_works::: NNP NE;nc com nc 
carmanah_technologies::: NNP NE;nc com nc 
carnegie_mellon_university::: ;NN nc org 
carotid_artery_ligation::: N nc;treatment 
carotid_artery_surgery::: N nc;treatment 
carpenter_technology::: NNP NE;nc com nc 
carrols_restaurant::: NNP NE;nc com nc 
carry_around::: VB vc;vt 
carry_away::: VB vc;vt 
carry_back::: VB vc;VNPPP 
carry_down::: VB vc;VNPPP 
carry_forward::: VB vc;VI VNPPP vt 
carry_in::: VB vc;vt 
carry_out::: VB vc;VNPPP vt 
carry_over::: VB vc;VI VNPPP VPP vt 
carry_through::: VB vc;vt 
carson-newman_college::: ;NN nc org 
cart_around::: VB vc;vt 
cart_away::: VB vc;vt 
cart_off::: VB vc;VPP vt 
carve_out::: VB vc;vt 
case_western_reserve_university::: ;NN nc org 
cash_in::: VB vc;VI VPP vt 
cash_out::: VB vc;VI 
cash_technologies::: NNP NE;nc com nc 
casino_&_hotel::: N nc;comHN 
casino_&_spa::: N nc;comHN 
casino_and_hotel::: N nc;comHN 
casino_and_spa::: N nc;comHN 
casio_computer::: NNP NE;nc com nc 
cast_about::: VB Ven past vc;VPP 
cast_around::: VB Ven past vc;VPP 
castleton_state_college::: ;NN nc org 
catalina_biosolutions::: NNP NE;nc com nc 
catalytic_solutions::: NNP NE;nc com nc 
catch_up::: VB vc;VI VPP vt 
catcher_technology::: NNP NE;nc com nc 
caterpillar_japan::: NNP NE;nc com nc 
caterpillar_motoren::: NNP NE;nc com nc 
cathay_pacific::: NNP NE;nc com nc 
caucho_technology::: NNP NE;nc com nc 
cb_chemie_und_biotechnologie::: NNP NE;nc com nc 
ccp_hf::: NNP NE;nc com nc 
ccr_technologies::: NNP NE;nc com nc 
cdw_computer_centers::: NNP NE;nc com nc 
ceat_limited::: NNP NE;nc com nc 
celanese_chemical::: NNP NE;nc com nc 
cell_based_gene_therapy::: N nc;treatment 
cell_chemical::: NNP NE;nc com nc 
cellcom_israel::: NNP NE;nc com nc 
cellutron_life_technology::: NNP NE;nc com nc 
cement_together::: VB vc;VI 
centaur_technology::: NNP NE;nc com nc 
center_for_disease_control_and_prevention::: ;NN nc org 
center_of_buoyancy::: N nc; 
center_of_curvature::: N nc; 
center_of_flotation::: N nc; 
center_of_gravity::: N nc; 
center_of_immersion::: N nc; 
center_of_mass::: N nc; 
centers_for_medicare_and_medicaid_services::: ;NN nc org 
central_bible_college::: ;NN nc org 
central_carolina_technical_college::: ;NN nc org 
central_christian_college::: ;NN nc org 
central_connecticut_state_university::: ;NN nc org 
central_intelligence_agency::: ;NN nc org 
central_kentucky_technical_college::: ;NN nc org 
central_maine_technical_college::: ;NN nc org 
central_methodist_college::: ;NN nc org 
central_missouri_state_university::: ;NN nc org 
central_nervous_system::: N nc;bodyPart 
central_processing_unit::: NN nc;component tool 
central_state_university::: ;NN nc org 
centre_of_buoyancy::: N nc; 
centre_of_curvature::: N nc; 
centre_of_flotation::: N nc; 
centre_of_gravity::: N nc; 
centre_of_immersion::: N nc; 
centre_of_mass::: N nc; 
century_sunshine_ecological_technology::: NNP NE;nc com nc 
cerebrospinal_fluid_drainage::: N nc;treatment 
cerebrospinal_fluid_shunting::: N nc;treatment 
cervical_cancer_cellular_diagnosis::: N nc;treatment 
cervical_disc_syndrome::: N nc;nt 
cervical_root_syndrome::: N nc;nt 
chadron_state_college::: ;NN nc org 
chain_down::: VB vc;VNPPP vt 
chalk_out::: VB vc;vt 
chalk_up::: VB vc;vt 
chamber_of_commerce::: N nc;orgHN 
champion_technology::: NNP NE;nc com nc 
chancellor_of_the_exchequer::: NNP nc;job 
chandler-gilbert_community_college::: ;NN nc org 
chandler-gilbert_community_college_-pecos_campus::: ;NN nc org 
chandler-gilbert_community_college_-sun_lakes_campus::: ;NN nc org 
chandler-gilbert_community_college_-williams_campus::: ;NN nc org 
changde_yungang_biotechnological::: NNP NE;nc com nc 
change_over::: VB vc;VI VNPPP VNPPhisNG VPP VPPPP vt 
changsha_huajia_chemical_science::: NNP NE;nc com nc 
changsha_xinhonghong_industrial_chemicals::: NNP NE;nc com nc 
changshu_qiangang_chemical::: NNP NE;nc com nc 
changzhou_aitan_chemical::: NNP NE;nc com nc 
changzhou_fangzheng_chemical::: NNP NE;nc com nc 
changzhou_huakai_chemical_plant::: NNP NE;nc com nc 
changzhou_huaren_chemical::: NNP NE;nc com nc 
changzhou_kangmei_chemical_industry::: NNP NE;nc com nc 
changzhou_lingguang_chemical::: NNP NE;nc com nc 
charge_in::: VB vc;VPP 
charge_off::: VB vc;VI VNPPNGoc VNPPP VNPPPas VNPTOoc VPP VPPPP VTH dative vt 
charles_river_laboratories_international::: NNP NE;nc com nc 
charleston_southern_university::: ;NN nc org 
charter_oak_state_college::: ;NN nc org 
chartwell_technology::: NNP NE;nc com nc 
chase_down::: VB vc;vt 
chase_in::: VB vc;vt 
chase_out::: VB vc;vt 
chateau_potelle_winery::: NNP NE;nc com nc 
chattanooga_state_technical_community_college::: ;NN nc org 
chatter_on::: VB vc;VPP 
check_back::: VB vc;VPP 
check_in::: VB vc;VI VPP 
check_out::: VB vc;VI vt 
check_up::: NN VB vc;VPP 
checkpoint_technologies::: NNP NE;nc com nc 
chemet_chemicals::: NNP NE;nc com nc 
chemical_safety_and_hazard_investigations_board::: ;NN nc org 
chemical_technology_associates::: NNP NE;nc com nc 
chemtech_solutions::: NNP NE;nc com nc 
chesapeake_and_ohio_railway::: NNP NE;nc com nc 
chest_wall_oscillation::: N nc;treatment 
chevron_phillips_chemical::: NNP NE;nc com nc 
chew_off::: VB vc;vt 
chew_over::: VB vc;vt 
chi_lin_technology::: NNP NE;nc com nc 
chi_mei_optoelectronics::: NNP NE;nc com nc 
chi_recordings::: NNP NE;nc com nc 
chiang-long_chemical::: NNP NE;nc com nc 
chicago-kent_college_of_law::: ;NN nc org 
chicago_rock_island_and_pacific_railroad::: NNP NE;nc com nc 
chicago_state_university::: ;NN nc org 
chicony_electronics::: NNP NE;nc com nc 
chief_executive_officer::: NN nc;job 
chief_financial_officer::: NN nc;job 
chief_info_officer::: N nc;job 
chief_innovation_officer::: NN nc;job 
chief_operating_officer::: NN nc;job 
chief_operation_officer::: NN nc;job 
chief_operations_officer::: NN nc;job 
chief_planning_officer::: N nc;job 
chief_risk_management_officer::: N nc;job 
chief_risk_officer::: NN nc;job 
chief_strategy_officer::: N nc;job 
chief_technical_officer::: NN nc;job 
chief_technology_officer::: NN nc;job 
